date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:48	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://raizafrancoa.wixsite.com/robots.txt		(from )
18:05:49	836749/836749	---MCZ	200	added ('OK')	text/html	etag:W/%224d83ebdd02f086419d125b73e12653c6%22	https://raizafrancoa.wixsite.com/diversespanish	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish.html	(from )
18:05:49	13545/13545	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d17548880fa85fc2de6c905dd05d6b0b%22	https://static.parastorage.com/services/wix-thunderbolt/dist/webpack-runtime.2d16b2f1.bundle.min.js	C:/My%20Web%20Sites/Diverse%20Spanish/static.parastorage.com/services/wix-thunderbolt/dist/webpack-runtime.2d16b2f1.bundle.min.js	(from https://raizafrancoa.wixsite.com/diversespanish)
18:05:50	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/Diverse%20Spanish/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://raizafrancoa.wixsite.com/diversespanish)
18:05:50	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/Diverse%20Spanish/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://raizafrancoa.wixsite.com/diversespanish)
18:05:51	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:05:50%20GMT	https://raizafrancoa.wixsite.com/i	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/i.4.delayed	(from https://raizafrancoa.wixsite.com/diversespanish)
18:05:51	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:05:51%20GMT	https://raizafrancoa.wixsite.com/t	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/t.5.delayed	(from https://raizafrancoa.wixsite.com/diversespanish)
18:05:52	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:05:52%20GMT	https://raizafrancoa.wixsite.com/	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/index.html	(from https://raizafrancoa.wixsite.com/diversespanish)
18:05:54	837624/837624	---MCZ	200	added ('OK')	text/html	etag:W/%223e7c7d63a543707a627c9d4e5cfb5c19%22	https://raizafrancoa.wixsite.com/diversespanish/es	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/es.html	(from https://raizafrancoa.wixsite.com/diversespanish)
18:05:55	689208/689208	---MCZ	200	added ('OK')	text/html	etag:W/%22ff48bbcb0f373108b02d687cde9ca3a4%22	https://raizafrancoa.wixsite.com/diversespanish/acerca-de	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/acerca-de.html	(from https://raizafrancoa.wixsite.com/diversespanish)
